"gender";"age_donor_cat";"region";"donor_yes_no";"bonus_status";"sum_confirmed_donations";"sum_count_bonuses_taken";"sum_unconfirmed_donations";"cnt_donor";"cnt_networks";"cnt_connection_donor"
Мужской;от_30_до_40;Россия, Башкортостан, Уфа;не_является_донором;без_бонусов;0;0;32;90;31;86
нет_данных;нет данных;Россия, Забайкальский край, Чита;не_является_донором;без_бонусов;0;0;10;90;74;57
Женский;от_18_до_30;Россия, Пермский край, Пермь;не_является_донором;без_бонусов;0;0;11;90;33;78
нет_данных;нет данных;Казахстан, Павлодарская область, Павлодар;не_является_донором;без_бонусов;0;0;0;89;81;62
Женский;от_18_до_30;Россия, Иркутская область, Иркутск;не_является_донором;без_бонусов;0;0;23;89;26;76
Женский;от_30_до_40;Россия, Татарстан, Казань;является донором;без_бонусов;1011;0;63;89;42;89
нет_данных;нет данных;Россия, Нижегородская область, Дзержинск;не_является_донором;без_бонусов;0;0;3;88;73;71
нет_данных;нет данных;Россия, Калужская область, Обнинск;не_является_донором;без_бонусов;0;0;14;87;61;62
нет_данных;нет данных;Россия, Коми, Сыктывкар;не_является_донором;без_бонусов;0;0;12;87;74;63
нет_данных;нет данных;Россия, Калужская область, Калуга;является донором;без_бонусов;189;0;2;87;74;81
нет_данных;нет данных;Украина, Кировоградская область, Кировоград;не_является_донором;без_бонусов;0;0;0;86;75;57
Женский;от_18_до_30;Россия, Омская область, Омск;не_является_донором;без_бонусов;0;0;12;86;39;77
нет_данных;нет данных;Россия, Ульяновская область, Ульяновск;является донором;без_бонусов;361;0;4;86;60;73
нет_данных;нет данных;Украина, Ровенская область, Ровно;не_является_донором;без_бонусов;0;0;1;83;74;58
Женский;от_18_до_30;Россия, Татарстан, Казань;является донором;тратит_бонусы;857;212;27;83;46;81
Женский;от_30_до_40;Россия, Нижегородская область, Нижний Новгород;не_является_донором;без_бонусов;0;0;13;83;30;75
нет_данных;нет данных;Россия, Карелия, Петрозаводск;является донором;без_бонусов;165;0;12;81;72;75
Женский;нет данных;Россия, Санкт-Петербург;не_является_донором;без_бонусов;0;0;11;81;21;73
нет_данных;нет данных;Казахстан, Южно-Казахстанская область, Шымкент;не_является_донором;без_бонусов;0;0;0;81;64;52
Мужской;от_30_до_40;Россия, Краснодарский край, Краснодар;не_является_донором;без_бонусов;0;0;11;80;34;75
нет_данных;нет данных;Россия, Хакасия, Абакан;не_является_донором;без_бонусов;0;0;6;80;71;51
